taxa,PC1,PC2,PC3,PC4,PC5
PDAC253_Ram_S,-115.278063140129,8.9193894781963,-39.7755570403289,87.7290506383683,42.2482603520544
PDAC254_Rij_S,-80.4580747499946,15.9296065675276,-11.5534201893636,-4.52650423593616,47.4047390990471
PDAC255_Sin_S,-11.7699301309352,-46.839986570983,-2.51969484877147,-60.1368174448893,19.7055821052655
PDAC256_Alm_S,-99.610251483236,19.0353500263437,-16.5747697041363,78.8085801735873,64.2151210816481
PDAC257_Hil_S,33.0785870998783,-38.1333405151164,58.4965770598994,36.5784396582978,23.0633672899555
PDAC258_Ale_S,75.0373041802507,-13.7426985119303,-13.5856666068104,53.3802379918146,-71.6416362953879
PDAC259_Asi_S,-89.0177353808945,12.2719444024762,-2.93413500779953,27.6999212463042,-65.5902904951894
PDAC260_Zam_S,6.16181851329019,-87.0000517841679,27.0687986488787,3.43495264018198,-9.23129499901653
PDAC261_Fre_S,-80.8684614885723,20.9478287248418,-13.5819971935058,48.8193155633987,32.3564151001959
PDAC262_She_S,-86.3461086553589,-25.2918152322534,-30.7027064852372,53.0705158549487,-15.8463148188007
PDAC263_Jei_S,19.1777020646346,-48.1292714595546,-17.0142791687251,-70.8323523556506,-12.7075566179473
PDAC264_Lab_S,61.9404711616823,35.5323346375177,-1.01222543066427,46.5832730390267,25.0577229938643
PDAC265_Mab_S,-24.7671809436966,4.31377750499998,-25.7047857033585,-48.0181990831371,-36.9745457030744
PDAC266_Hel_S,-57.0858470304821,-58.7299317405953,-24.1328421770724,-69.837544053243,-3.90181577483946
PDAC267_Rot_S,-1.62266470179253,-50.8071767508007,10.1499467783988,-27.7502864409771,-26.5383078755863
PDAC268_Has_S,-10.244143849465,-49.4099658846506,-6.85735065900827,-47.8218853140312,-27.1825322524649
PDAC270_Kho_S,-91.1884433131975,-1.35245653868946,-11.872107362381,55.4314953543894,33.8075177869627
PDAC271_Nbt_S,-92.1515695478143,0.412200934835439,-36.3265417297956,41.2725557840262,1.06763114983599
PDAC272_Tin_S,-49.3769784197948,-19.8991829801099,-20.9135551400139,19.239969536971,33.6716436685852
PDAC273_Rar_S,68.7222102047385,9.22405441400982,-54.9384866766164,3.83245189464899,3.65212644259113
PDAC274_Far_S,52.8157074669587,-37.1356758436351,-89.707370957809,-60.3135083511738,-60.2447628609659
PDAC275_Kha_S,11.3686680217427,-70.4433195085133,23.6288730433358,-34.7568132594723,-10.9151857126851
PDAC276_Ald_S,-25.3796595996313,-83.5496939354095,-10.813405250175,-87.8668642737134,13.8420562790159
PDAC277_Khi_S,-5.41360458854093,20.025901311484,65.9235951245417,-6.45845393303717,39.9370777653569
PDAC278_Umi_S,-81.9287410411181,-29.0959521306826,-26.3948646727403,76.3547861605355,4.81516927510266
PDAC279_Nbt_S,11.8607828936952,-87.8054310467777,7.02768801375898,-76.9503225374984,12.4722718045049
PDAC280_Tin_S,55.1563541320998,-53.9522580199071,95.8170306630086,44.2907442078432,26.5143322099109
PDAC281_Hje_S,-14.2317493881681,30.6050533047413,-14.3050919380147,-1.48317714174547,-44.0695519378084
PDAC282_Sou_S,-102.340793252607,44.9623276688514,-0.740374096372082,12.7572862232757,71.5227150307896
PDAC283_Abo_S,-9.99579475639565,-83.9127605340439,22.8362133529709,-20.5568351464494,22.7406309185353
PDAC284_Rot_S,-64.2312966767853,17.3628656259736,12.9289943716879,-17.8897210476578,-58.9393720071488
PDAC285_Sou_S,-18.0894231869167,8.17457648395617,28.2372539413231,-4.8225056036942,-23.9979110087376
PDAC286_Sou_S,-130.834548245639,-18.7186797241634,-55.9295203984585,105.39098009548,18.5319751687425
PDAC287_Wan_S,-116.353929511639,-20.618160483018,-46.6723558549721,65.926201175196,-2.66521803801476
PDAC288_Saf_S,-49.2815102531897,-18.1005691479092,-26.5387559242594,-72.5072154461564,29.9479503893457
PDAC289_Aiy_S,-34.3112129226575,-9.02148588732489,-27.1372422230809,-46.6832461067136,6.55008320694978
PDAC290_Chi_S,-10.6216628601082,-19.5719817662705,25.3294337451494,-6.13351012881335,19.5803932039625
PDAC291_Nbt_S,-109.31850567059,-11.6302971775485,-45.8237312376002,77.4549976095719,26.941531631224
PDAC292_Mej_S,-59.2883353432516,11.8845401530521,-26.8151742631956,-30.8197238568488,2.345991324265
PDAC293_Nbt_S,-107.26590321227,5.18337292229786,-23.7602709801069,60.4167424609379,-13.3401587126741
PDAC294_Ash_S,-87.2996786793172,22.3555697373993,0.513494224608987,26.2293582837673,-47.8943751425825
PDAC295_Mor_S,60.0770287340454,32.4253146432761,6.95144524382154,32.5346064025703,12.4351311163697
PDAC296_Neb_S,-99.7303301675849,-11.1315674209763,-30.214954115109,71.1084498503791,20.8162852938764
PDAC297_Sab_S,-26.8312389746947,-31.6717781487102,-8.46264467122033,-82.1209394508406,53.7528057335557
PDAC298_Sag_S,-11.7413922138499,-29.7712852103954,13.5048424180443,-24.1982527149045,-46.0525531195746
PDAC299_Raz_S,67.6664418247408,-18.7629896964723,16.7713432263283,72.9022467473367,-70.3325673646497
PDAC300_Mak_S,1.8428718623215,-27.7512881099828,-0.0766143880561202,-4.85729222368636,-34.0490393930646
PDAC301_Jei_S,63.5476053086942,-17.0679315753791,-26.9380962330349,35.3395646268194,-77.2876953604488
PDAC302_Sul_S,-13.9910685831242,28.2059190267169,49.391387109604,-63.6473812415666,105.584350754866
PDAC303_Sha_S,-73.1769416082033,26.679181435129,-3.7569896944133,9.04601822600504,52.4634618282858
